Gene,Exon_position,EXON,Targeton_ID
SMC1A,chrX:53422492-53422654,1,SBPS
SMC1A,chrX:53414981-53415169,2,APDY
SMC1A,chrX:53414758-53414870,3,NBXL
SMC1A,chrX:53413232-53413435,4,RSDC
SMC1A,chrX:53412900-53413138,5,AXFG
SMC1A,chrX:53412900-53413138,5,EXTP
SMC1A,chrX:53411995-53412253,6,CQEJ
SMC1A,chrX:53411995-53412253,6,SWAZ
SMC1A,chrX:53411761-53411901,7,IHMH
SMC1A,chrX:53409421-53409503,8,KJQT
SMC1A,chrX:53409062-53409269,9,YTUB
SMC1A,chrX:53405771-53405956,10,RYFS
SMC1A,chrX:53405493-53405672,11,PSYW
SMC1A,chrX:53405245-53405391,12,NQBU
SMC1A,chrX:53405012-53405149,13,NUIB
SMC1A,chrX:53403777-53403893,14,SUHO
SMC1A,chrX:53403566-53403672,15,HDOI
SMC1A,chrX:53399589-53399730,16,MGTQ
SMC1A,chrX:53396472-53396617,17,RVMB
SMC1A,chrX:53396227-53396380,18,ELWX
SMC1A,chrX:53394778-53394888,19,OJTT
SMC1A,chrX:53383097-53383253,20,ZANL
SMC1A,chrX:53382506-53382660,21,RBMZ
SMC1A,chrX:53382232-53382383,22,CNJV
SMC1A,chrX:53381018-53381087,23,NLVE
SMC1A,chrX:53380620-53380730,24,FKKY
SMC1A,chrX:53374149-53380186,25,FBSZ
