Targeton_ID	chrom	start	end	source_prefix
FBSZ	chrX	53380058	53380351	chrX_53380058_53380351_minus_sgRNA_1190753212
FKKY	chrX	53380505	53380779	chrX_53380505_53380779_minus_sgRNA_1190753327
NLVE	chrX	53380951	53381244	chrX_53380951_53381244_minus_sgRNA_1190753398
CNJV	chrX	53382126	53382421	chrX_53382126_53382421_minus_sgRNA_1190753622
RBMZ	chrX	53382452	53382741	chrX_53382452_53382741_minus_sgRNA_1190753665
ZANL	chrX	53383037	53383326	chrX_53383037_53383326_minus_sgRNA_1190753757
OJTT	chrX	53394645	53394934	chrX_53394645_53394934_minus_sgRNA_1190755122
ELWX	chrX	53396185	53396475	chrX_53396185_53396475_minus_sgRNA_1190755304
RVMB	chrX	53396404	53396697	chrX_53396404_53396697_minus_sgRNA_1190755351
MGTQ	chrX	53399533	53399827	chrX_53399533_53399827_minus_sgRNA_1190755661
HDOI	chrX	53403528	53403822	chrX_53403528_53403822_minus_sgRNA_1190756118
SUHO	chrX	53403694	53403988	chrX_53403694_53403988_minus_sgRNA_1190756154
NUIB	chrX	53404974	53405265	chrX_53404974_53405265_minus_sgRNA_1190756330
NQBU	chrX	53405177	53405469	chrX_53405177_53405469_minus_sgRNA_1190756363
PSYW	chrX	53405425	53405719	chrX_53405425_53405719_minus_sgRNA_1190756406
RYFS	chrX	53405734	53406021	chrX_53405734_53406021_minus_sgRNA_1190756462
YTUB	chrX	53409022	53409316	chrX_53409022_53409316_minus_sgRNA_1190756897
KJQT	chrX	53409261	53409553	chrX_53409261_53409553_minus_sgRNA_1190756945
IHMH	chrX	53411719	53412013	chrX_53411719_53412013_minus_sgRNA_1190757237
CQEJ	chrX	53411911	53412205	chrX_53411911_53412205_minus_sgRNA_1190757276
SWAZ	chrX	53412058	53412342	chrX_53412058_53412342_minus_sgRNA_1190757290
AXFG	chrX	53412834	53413119	chrX_53412834_53413119_minus_sgRNA_1190757414
RSDC	chrX	53413199	53413492	chrX_53413199_53413492_minus_sgRNA_HG_168_1190757455
NBXL	chrX	53414703	53414997	chrX_53414703_53414997_minus_sgRNA_HG_16_1190757649
APDY	chrX	53414916	53415205	chrX_53414916_53415205_minus_sgRNA_1190757695
SBPS	chrX	53422418	53422712	chrX_53422418_53422712_minus_sgRNA_1190758695
